<head/><TITLE>ATG rooftop data for 27 April 2015</TITLE>
<H2>ATG rooftop data for 27 April 2015</H2>

THIS DATA IS SUBJECT TO ERRORS.

All times are <a href=/utc.html>UTC</a>.
<p>
<PRE>
			Wind 
  Time	  RHum 	 Temp	Direct	Speed	Gust	Rain	Radiation    Pres
	   (%)    (F)           (knot)  (knot) (inch)   (Watts m-2) (mbar)

00:00:33    47     57     210       7      9    0.00       139.21   1023.2
00:01:33    47     57     231       8      9    0.00       128.67   1023.2
00:02:33    47     57     239       8     10    0.00       118.84   1023.2
00:03:33    47     57     232       7      8    0.00       113.93   1023.3
00:04:33    47     57     219       8      9    0.00       114.33   1023.2
00:05:33    47     57     216       8      9    0.00       117.23   1023.3
00:06:33    47     57     231       8      9    0.00       119.75   1023.3
00:07:33    47     57     231       6      7    0.00       121.20   1023.3
00:08:33    47     57     235       6      7    0.00       122.78   1023.3
00:09:33    47     57     241       5      7    0.00       124.16   1023.3
00:10:33    47     58     227       7      8    0.00       124.50   1023.3
00:11:33    47     57     230       6      7    0.00       123.96   1023.3
00:12:33    47     57     225       5      6    0.00       123.08   1023.3
00:13:33    47     57     235       7      8    0.00       122.07   1023.4
00:14:33    47     57     227       5      7    0.00       118.44   1023.4
00:15:33    48     57     243       4      6    0.00       109.82   1023.4
00:16:33    47     58     224       8     11    0.00        98.01   1023.4
00:17:33    47     57     231       8      9    0.00        87.17   1023.4
00:18:33    47     57     232       7      8    0.00        80.27   1023.4
00:19:33    48     57     244       5      7    0.00        76.70   1023.5
00:20:33    47     57     247       7      8    0.00        75.46   1023.4
00:21:33    47     57     241       6      7    0.00        75.06   1023.4
00:22:33    47     57     241       5      6    0.00        74.42   1023.4
00:23:33    47     57     214       6      8    0.00        73.31   1023.4
00:24:33    47     57     222       7      8    0.00        72.03   1023.4
00:25:33    47     57     224       6      7    0.00        71.15   1023.4
00:26:33    47     57     225       9     10    0.00        71.45   1023.4
00:27:33    47     57     223       7      8    0.00        72.23   1023.4
00:28:33    48     57     232       5      7    0.00        72.83   1023.4
00:29:33    48     57     208       6      8    0.00        72.97   1023.4
00:30:33    47     57     212       8      9    0.00        71.79   1023.4
00:31:33    48     57     211       6      7    0.00        69.30   1023.4
00:32:33    47     57     205       8      9    0.00        65.80   1023.4
00:33:33    48     57     226       6      7    0.00        62.47   1023.4
00:34:33    48     57     203       7      8    0.00        59.94   1023.4
00:35:33    48     57     216       5      6    0.00        58.70   1023.3
00:36:33    48     57     214       6      7    0.00        58.60   1023.3
00:37:33    48     57     208       6      7    0.00        59.03   1023.3
00:38:33    47     57     219       7      7    0.00        59.14   1023.3
00:39:33    48     57     216       6      6    0.00        58.19   1023.3
00:40:33    47     57     221       7      8    0.00        57.49   1023.2
00:41:33    47     57     218       7      7    0.00        56.88   1023.2
00:42:33    48     57     204       6      6    0.00        56.07   1023.2
00:43:33    48     57     187       8      9    0.00        55.60   1023.2
00:44:33    48     57     196       6      6    0.00        55.10   1023.2
00:45:33    47     57     210       7      9    0.00        53.69   1023.2
00:46:33    47     57     211       7      9    0.00        52.74   1023.2
00:47:33    48     57     225       6      8    0.00        53.48   1023.2
00:48:33    47     57     213       7      9    0.00        55.94   1023.1
00:49:33    48     57     222       7      9    0.00        58.80   1023.1
00:50:33    47     57     210       7      8    0.00        61.39   1023.1
00:51:33    48     57     223       6      7    0.00        63.24   1023.1
00:52:33    48     57     228       8      9    0.00        64.22   1023.1
00:53:33    48     57     219       7      9    0.00        63.21   1023.1
00:54:33    48     57     215       5      6    0.00        60.08   1023.1
00:55:33    48     57     179       4      5    0.00        56.45   1023.2
00:56:33    48     57     180       5      6    0.00        54.96   1023.2
00:57:33    47     57     183       5      6    0.00        55.94   1023.2
00:58:33    48     57     184       6      7    0.00        57.66   1023.2
00:59:33    48     57     198       5      6    0.00        58.13   1023.3
01:00:33    47     57     208       7      8    0.00        56.75   1023.3
01:01:33    48     57     207       5      6    0.00        53.65   1023.3
01:02:33    48     57     206       5      6    0.00        49.85   1023.3
01:03:33    48     57     220       6      6    0.00        46.69   1023.3
01:04:33    48     57     220       6      8    0.00        44.80   1023.3
01:05:33    48     57     223       9     10    0.00        43.96   1023.3
01:06:33    49     57     207       8      9    0.00        44.13   1023.3
01:07:33    49     57     207       8      9    0.00        44.87   1023.2
01:08:33    49     57     209       7      8    0.00        45.47   1023.2
01:09:33    50     57     203       5      7    0.00        45.34   1023.2
01:10:33    49     57     209       5      7    0.00        44.53   1023.2
01:11:33    50     57     210       7      8    0.00        43.49   1023.2
01:12:33    49     57     213       9     10    0.00        42.88   1023.2
01:13:33    49     57     209       6      8    0.00        43.56   1023.2
01:14:33    49     57     209       7      9    0.00        44.67   1023.2
01:15:33    49     57     208       9      9    0.00        45.00   1023.2
01:16:33    49     57     210       6      9    0.00        44.20   1023.2
01:17:33    49     57     177       7      9    0.00        42.21   1023.2
01:18:33    49     57     197       7      8    0.00        39.31   1023.2
01:19:33    49     57     223       6      7    0.00        36.19   1023.3
01:20:33    48     57     223       7      8    0.00        33.05   1023.3
01:21:33    49     57     198       6      7    0.00        30.73   1023.3
01:22:33    49     57     204       6      7    0.00        29.76   1023.3
01:23:33    49     57     204       7      8    0.00        29.96   1023.3
01:24:33    49     57     228       8      8    0.00        31.30   1023.3
01:25:33    49     57     223       6      7    0.00        33.32   1023.2
01:26:33    49     57     217       7      9    0.00        34.20   1023.2
01:27:33    49     57     197       8      9    0.00        32.28   1023.2
01:28:33    49     57     215       6      7    0.00        28.55   1023.2
01:29:33    49     57     215       7      8    0.00        24.77   1023.2
01:30:33    48     57     216       9     10    0.00        21.71   1023.2
01:31:33    49     57     224      11     11    0.00        21.75   1023.2
01:32:33    49     57     221      10     12    0.00        24.57   1023.2
01:33:33    49     57     214       9     10    0.00        26.49   1023.2
01:34:33    49     57     205       8      9    0.00        25.92   1023.2
01:35:33    49     57     201       7      8    0.00        24.54   1023.2
01:36:33    49     57     217       6      9    0.00        23.26   1023.2
01:37:33    49     57     214       8      8    0.00        21.81   1023.2
01:38:33    49     57     209       7      8    0.00        20.43   1023.2
01:39:33    49     57     209       8      9    0.00        18.92   1023.2
01:40:33    49     57     207       7      8    0.00        17.77   1023.2
01:41:33    49     57     217       8      9    0.00        17.37   1023.2
01:42:33    49     57     222       7      8    0.00        17.50   1023.2
01:43:33    49     57     203       5      6    0.00        18.48   1023.2
01:44:33    49     56     212       6      8    0.00        20.40   1023.2
01:45:33    49     57     196       8      9    0.00        23.33   1023.2
01:46:33    49     57     204       6      7    0.00        27.10   1023.2
01:47:33    49     57     218       5      6    0.00        30.43   1023.2
01:48:33    49     57     220       7      8    0.00        32.85   1023.2
01:49:33    49     57     218       7      7    0.00        34.07   1023.2
01:50:33    49     57     212       7      8    0.00        34.00   1023.2
01:51:33    49     57     211       7      9    0.00        32.72   1023.2
01:52:33    49     57     224       7      9    0.00        30.50   1023.2
01:53:33    49     57     217       8      9    0.00        27.77   1023.2
01:54:33    49     57     207       7      8    0.00        25.08   1023.2
01:55:33    49     57     224       6      7    0.00        22.93   1023.2
01:56:33    49     57     220       7      8    0.00        21.24   1023.2
01:57:33    49     57     216       6      6    0.00        20.23   1023.2
01:58:33    50     57     218       6      7    0.00        19.39   1023.2
01:59:33    49     57     204       7      8    0.00        18.72   1023.2
02:00:33    49     57     216       7      9    0.00        17.77   1023.2
02:01:33    49     57     222       9     10    0.00        16.53   1023.2
02:02:33    49     56     218       7      8    0.00        15.28   1023.2
02:03:33    50     56     220       6      6    0.00        14.44   1023.2
02:04:33    50     56     210       7      9    0.00        14.04   1023.2
02:05:33    50     56     204       5      6    0.00        14.14   1023.2
02:06:33    50     56     214       4      5    0.00        14.34   1023.1
02:07:33    50     57     212       6      6    0.00        14.54   1023.1
02:08:33    50     56     216       6      7    0.00        14.78   1023.1
02:09:33    50     56     210       7      8    0.00        15.15   1023.1
02:10:33    49     56     218       7      8    0.00        15.45   1023.1
02:11:33    50     56     221       6      7    0.00        16.16   1023.2
