Sep = ,
"Delimiter = ,"
AethLabs
Device ID = AE51-S5-803-1309
Application version = 2.2.3.0
Flow = 99 ml/min
Timebase = 300 s
Start date = 2015/04/22
Start time = 14:00:00
Original date format = yyyy/MM/dd
Original time format = hh:mm:ss
Flow units = ml/min
PCB temp units = deg C
Battery units = %
BC units = ng/m^3

Date,Time,Ref,Sen,ATN,Flow,PCB temp,Status,Battery,BC

2015/04/22,14:00:00,806364,829807,"-2.866",99,38,0,43,
2015/04/22,14:05:00,805702,829452,"-2.905",99,39,0,43,-451
2015/04/22,14:10:00,805197,829068,"-2.922",99,37,0,43,-188
2015/04/22,14:15:00,805002,828959,"-2.933",99,37,0,43,-127
2015/04/22,14:20:00,804676,828488,"-2.916",99,38,0,48,187
2015/04/22,14:25:00,804335,827901,"-2.888",99,38,0,48,327
2015/04/22,14:30:00,804119,827691,"-2.889",99,38,0,48,-17
2015/04/22,14:35:00,803906,827394,"-2.880",99,38,0,48,108
2015/04/22,14:40:00,803627,826954,"-2.861",99,40,0,53,212
2015/04/22,14:45:00,803337,826353,"-2.825",99,41,0,53,420
2015/04/22,14:50:00,803199,826085,"-2.810",99,41,0,51,175
2015/04/22,14:55:00,803015,825764,"-2.794",99,41,0,56,183
2015/04/22,15:00:00,802874,825536,"-2.784",99,41,0,56,115
2015/04/22,15:05:00,802787,825372,"-2.774",99,41,0,56,104
2015/04/22,15:10:00,802704,825145,"-2.757",99,41,0,56,197
2015/04/22,15:15:00,802652,824942,"-2.739",99,41,0,61,208
2015/04/22,15:20:00,802587,824644,"-2.711",99,41,0,62,322
2015/04/22,15:25:00,802601,824392,"-2.679",99,41,0,62,371
2015/04/22,15:30:00,802586,824190,"-2.656",99,39,0,62,260
2015/04/22,15:35:00,802677,823968,"-2.618",99,39,0,67,439
2015/04/22,15:40:00,802655,823556,"-2.571",98,39,0,67,548
2015/04/22,15:45:00,802617,823148,"-2.526",99,39,0,67,514
2015/04/22,15:50:00,802600,822847,"-2.491",99,39,0,67,395
2015/04/22,15:55:00,802574,822454,"-2.447",99,38,0,72,511
2015/04/22,16:00:00,802501,822073,"-2.410",99,38,0,73,427
2015/04/22,16:05:00,802486,821779,"-2.376",99,38,0,73,389
2015/04/22,16:10:00,802461,821360,"-2.328",99,38,0,73,549
2015/04/22,16:15:00,802450,820654,"-2.243",99,38,0,78,971
2015/04/22,16:20:00,802457,820250,"-2.193",99,38,0,78,575
2015/04/22,16:25:00,802493,819889,"-2.145",99,38,0,78,557
2015/04/22,16:30:00,802462,819500,"-2.101",99,37,0,78,500
2015/04/22,16:35:00,802460,819196,"-2.064",99,37,0,84,423
2015/04/22,16:40:00,802429,818804,"-2.020",99,37,0,84,505
2015/04/22,16:45:00,802369,818374,"-1.975",99,37,0,84,517
2015/04/22,16:50:00,802411,817944,"-1.917",99,37,0,84,663
2015/04/22,16:55:00,802436,817617,"-1.874",99,36,0,89,495
2015/04/22,17:00:00,802424,817286,"-1.835",99,37,0,89,447
2015/04/22,17:05:00,802526,817012,"-1.789",99,37,0,89,531
2015/04/22,17:10:00,802477,816550,"-1.738",99,37,0,89,579
2015/04/22,17:15:00,802435,816094,"-1.688",99,36,0,94,581
2015/04/22,17:20:00,802579,815614,"-1.611",99,36,0,93,881
2015/04/22,17:25:00,802666,815178,"-1.547",99,36,0,93,738
2015/04/22,17:30:00,802568,814788,"-1.511",99,36,0,93,409
2015/04/22,17:35:00,802620,814456,"-1.464",99,36,0,98,542
2015/04/22,17:40:00,802646,814046,"-1.410",99,36,0,98,615
2015/04/22,17:45:00,802654,813694,"-1.366",99,36,0,97,508
2015/04/22,17:50:00,802618,813312,"-1.324",99,36,0,97,487
2015/04/22,17:55:00,802639,813039,"-1.287",99,36,0,99,415
2015/04/22,18:00:00,802721,812674,"-1.232",99,36,0,100,632
2015/04/22,18:05:00,802779,812491,"-1.203",99,36,0,100,341
2015/04/22,18:10:00,802789,812265,"-1.173",98,36,0,100,337
2015/04/22,18:15:00,802795,812094,"-1.152",99,36,0,100,250
2015/04/22,18:20:00,803025,811984,"-1.109",99,35,0,100,484
2015/04/22,18:25:00,803247,811844,"-1.065",98,35,0,100,520
2015/04/22,18:30:00,803329,811747,"-1.042",98,35,0,100,257
2015/04/22,18:35:00,803458,811637,"-1.013",99,35,0,100,340
2015/04/22,18:40:00,803538,811380,"-0.971",99,35,0,100,478
2015/04/22,18:45:00,804006,811336,"-0.908",99,34,0,100,730
2015/04/22,18:50:00,804131,810993,"-0.850",99,34,0,100,664
2015/04/22,18:55:00,804441,810815,"-0.789",99,34,0,100,694
2015/04/22,19:00:00,804298,810631,"-0.784",99,34,0,100,56
2015/04/22,19:05:00,804519,810562,"-0.748",99,33,0,100,413
2015/04/22,19:10:00,804786,810317,"-0.685",99,33,0,100,728
2015/04/22,19:15:00,805023,810128,"-0.632",99,33,0,100,606
2015/04/22,19:20:00,805147,809969,"-0.597",99,32,0,100,402
2015/04/22,19:25:00,805290,809795,"-0.558",99,32,0,100,450
2015/04/22,19:30:00,805612,809786,"-0.517",99,32,0,100,471
2015/04/22,19:35:00,805845,809663,"-0.473",99,31,0,100,506
2015/04/22,19:40:00,806050,809542,"-0.432",99,31,0,100,463
2015/04/22,19:45:00,806106,809317,"-0.398",99,31,0,100,399
2015/04/22,19:50:00,806291,809202,"-0.360",99,31,0,100,426
2015/04/22,19:55:00,806352,809019,"-0.330",99,31,0,100,346
